# Netscape HTTP Cookie File
# https://curl.haxx.se/docs/http-cookies.html
# This file was generated by libcurl! Edit at your own risk.

www.bensound.com	FALSE	/	FALSE	0	PHPSESSID	db4fd342a6fe300c2e8120c519ce4e63
.www.bensound.com	TRUE	/	FALSE	1486960500	language	en
.www.bensound.com	TRUE	/	FALSE	1486960500	currency	USD
.blogiswar.net	TRUE	/	FALSE	0	myatu_bgm_bg_id_102434	115721
#HttpOnly_.facebook.com	TRUE	/	FALSE	1492215484	fr	0AiPZZjVqUeilkRGj..BYeoX4.Tg.AAA.0.0.BYer-7.AWV3RdHN
#HttpOnly_.google.com	TRUE	/	FALSE	1500247097	NID	94=Qu0GTfXAfVP-CBddM6WcXLhVocSCvtstsP7b9bHOvXPXqHzrESSl5viWKF-A6V8Tbqfsuo4KZ4CpFBI2PduR3UN03hTbJxHeyx1bp5LPcgOMGiSjfnV_dQaBRgZvVdyC
#HttpOnly_.twitter.com	TRUE	/	TRUE	0	_twitter_sess	BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCNpDRp9ZAToMY3NyZl9p%250AZCIlNzk3Y2I1MDA2MGMxNzkzMDRlMGIxYzM0Yjk2MGJmZTA6B2lkIiVhMjZi%250AMThlNDQzYjUyNGE3YTZlZGY2ZmZjNWI5MDQzYw%253D%253D--660f84499de55e5a987ecd417088e6da3340e7f3
.twitter.com	TRUE	/	FALSE	1547507899	guest_id	v1%3A148443589935310439
www.blogiswar.net	FALSE	/2017/01/11/kuroshitsuji-book-of-the-atlantic-estrena-nuevo-anuncio/	FALSE	1484440818	kuroshitsujibookoftheatlanticestrenanuevoanuncio	1
www.blogiswar.net	FALSE	/2017/01/11/la-serie-de-novelas-monogatari-estrenara-su-monster-season-con-shibumonogatari/	FALSE	1484440823	laseriedenovelasmonogatariestrenarasumonsterseasonconshibumonogatari	1
www.blogiswar.net	FALSE	/2017/01/11/trailer-de-lanzamiento-de-new-danganronpa-v3/	FALSE	1484440828	trailerdelanzamientodenewdanganronpav3	1
www.blogiswar.net	FALSE	/2017/01/11/video-promocional-de-la-ova-de-onihei-hankachou/	FALSE	1484440835	videopromocionaldelaovadeoniheihankachou	1
www.blogiswar.net	FALSE	/2017/01/13/nintendo-switch-se-lanzara-el-3-de-marzo-y-costara-300-dolares/	FALSE	1484440840	nintendoswitchselanzarael3demarzoycostara300dolares	1
www.blogiswar.net	FALSE	/2017/01/13/the-legend-of-zelda-breath-of-the-wild-se-lanzara-el-3-de-marzo/	FALSE	1484440845	thelegendofzeldabreathofthewildselanzarael3demarzo	1
www.blogiswar.net	FALSE	/2017/01/14/arc-system-works-anuncia-guilty-gear-xrd-rev-2-baiken-regresara-en-primavera/	FALSE	1484440851	arcsystemworksanunciaguiltygearxrdrev2baikenregresaraenprimavera	1
www.blogiswar.net	FALSE	/2017/01/14/el-guionista-simon-nagel-da-mas-indicios-sobre-un-posible-nuevo-proyecto-de-gegege-no-kitaro/	FALSE	1484440856	elguionistasimonnageldamasindiciossobreunposiblenuevoproyectodegegegenokitaro	1
www.blogiswar.net	FALSE	/2017/01/14/el-nuevo-anime-de-baki-se-estrenara-en-algun-punto-de-2017/	FALSE	1484440862	elnuevoanimedebakiseestrenaraenalgunpuntode2017	1
www.blogiswar.net	FALSE	/2017/01/14/nintendo-muestra-el-control-parental-de-switch-con-un-video-protagonizado-por-bowser-y-bowsy/	FALSE	1484441328	nintendomuestraelcontrolparentaldeswitchconunvideoprotagonizadoporbowserybowsy	1
www.blogiswar.net	FALSE	/2017/01/14/sword-art-online-ordinal-scale-estrena-nueva-imagen-promocional/	FALSE	1484441335	swordartonlineordinalscaleestrenanuevaimagenpromocional	1
